#{"t_start": 1525892454.660609, "env_id": "Hopper-v1"}
r,l,t
11.310426,14,24.293875
6.960602,20,24.315735
8.638701,22,24.338396
14.870522,19,24.359327
15.626449,20,24.380911
4.901498,7,24.389288
21.38556,22,24.41024
9.483638,34,24.452506
15.31767,23,24.479398
10.691824,17,24.500731
22.368751,28,24.533154
26.730158,34,24.573874
7.115994,20,24.59879
12.938603,15,24.616683
8.040278,25,24.647289
11.589843,15,24.665369
14.929909,16,24.686676
44.269548,52,24.750582
16.733798,21,24.775802
12.197863,19,24.799477
3.829034,7,24.807918
20.736676,40,24.856479
94.115224,56,24.925747
6.287462,18,24.946072
15.80429,28,24.979333
8.564321,12,24.993643
16.417441,16,25.009544
5.352911,9,25.021377
25.259453,23,25.044368
8.585433,20,25.06441
22.504899,23,25.087745
9.492871,19,25.106871
10.353447,19,25.126165
20.334781,20,25.146699
31.025853,28,25.177
13.770109,19,25.200756
14.862181,16,25.219217
16.921394,19,25.242185
8.560195,22,25.269836
13.823498,39,25.314116
19.224415,29,25.346803
3.856627,19,25.367815
11.73332,13,25.383856
11.434098,19,25.403483
7.533591,9,25.412898
8.997344,13,25.426078
23.083647,24,25.450094
15.399951,22,25.471735
16.786457,19,25.490929
13.143055,21,25.511508
26.03724,30,25.544533
7.37719,11,25.55825
31.520953,57,25.613766
12.131531,21,25.634567
18.052846,24,25.658725
11.139657,16,25.674439
33.91086,27,25.701471
7.159658,10,25.711297
5.37804,10,25.721061
5.409813,8,25.729025
10.913161,13,25.741536
25.959623,25,25.765889
197.509594,88,25.855268
63.833352,60,25.913399
6.416652,10,25.923608
14.359615,17,25.942507
9.173807,11,25.952954
17.415549,22,25.974854
5.421484,8,25.983087
20.17553,20,26.002923
4.61938,11,26.013739
7.632829,14,26.027675
12.985185,28,26.053937
8.18415,18,26.070671
12.126265,17,26.086701
37.285645,43,26.128026
11.899511,15,26.142885
23.905158,21,26.164268
22.674745,26,26.19291
24.771052,24,26.222273
12.6316,19,26.24538
175.863539,109,26.351101
10.232509,17,26.368246
4.078108,8,26.37645
11.926329,16,26.392356
11.497735,23,26.415636
6.294198,11,26.427194
8.182595,10,26.437484
13.977606,19,26.460244
13.453773,27,26.490837
46.223009,54,27.884205
11.6507,18,27.902744
14.736057,16,27.919606
17.43761,20,27.940012
15.195104,16,27.957159
5.092629,9,27.965924
18.029135,19,27.984838
27.016145,24,28.009039
12.561685,17,28.027004
11.051817,23,28.049586
9.229901,13,28.062295
8.306547,17,28.079493
20.369915,30,28.107804
15.739218,19,28.126056
55.10362,56,28.180359
16.783717,21,28.201469
6.583284,9,28.210105
15.793056,16,28.225281
13.642077,18,28.242481
43.309498,34,28.274555
10.297413,13,28.289239
29.652405,30,28.317494
114.83238,60,28.374222
7.902697,12,28.385875
22.806941,26,28.410886
6.859956,12,28.422406
20.641671,31,28.453322
14.653339,20,28.47399
8.867876,10,28.483621
7.719352,10,28.493977
10.730574,25,28.519147
22.132642,20,28.539446
11.083163,14,28.553811
28.318507,25,28.58019
10.338988,15,28.595786
8.455776,11,28.606543
12.01191,19,28.625466
21.741364,30,28.656022
20.25564,21,28.675966
8.048882,11,28.686926
10.181694,12,28.698731
7.74197,11,28.710888
6.500324,9,28.719582
7.974653,14,28.733973
25.364438,20,28.753826
16.967493,17,28.770838
15.574661,26,28.796618
10.686857,13,28.808896
10.368588,15,28.823287
6.312761,13,28.835953
13.809623,14,28.850004
8.493531,12,28.862968
10.479359,14,28.877081
9.822339,17,28.896991
8.730507,20,28.917507
7.817993,11,28.929335
29.082994,25,28.953338
16.022548,16,28.969994
24.113136,33,29.003025
186.357296,97,29.098279
8.626549,16,29.11419
9.349061,14,29.128262
13.109965,16,29.143906
11.275742,20,29.162673
11.855941,22,29.184501
22.499899,23,29.20638
23.17387,32,29.23798
10.869271,12,29.25053
11.875256,19,29.269263
9.37859,11,29.280167
11.70746,28,29.306732
82.334233,50,29.364941
32.58413,27,29.396098
12.52813,27,29.42892
25.324544,27,29.462197
27.060775,24,29.490978
9.827338,11,29.505587
18.18207,17,29.525865
24.341728,23,29.554466
133.002284,79,29.649058
35.999099,28,29.682178
7.099782,12,29.697863
4.507636,10,29.709543
69.6069,43,29.759273
5.470598,12,29.773892
6.527458,10,29.786981
8.11492,15,29.804584
27.893634,32,29.839117
9.525751,12,29.851774
43.763088,42,29.895474
18.031695,20,29.915977
104.073425,63,30.970155
83.609533,48,31.022318
10.682558,14,31.036465
26.161921,24,31.059932
21.436719,30,31.089108
121.753927,63,31.148782
15.822432,17,31.16469
107.21576,61,31.222203
16.982625,18,31.24022
132.670001,74,31.309679
61.651974,38,31.345239
11.329892,13,31.358329
164.76369,78,31.429418
13.01702,15,31.444527
15.308314,22,31.467744
68.097168,46,31.512095
21.290319,32,31.543288
15.504461,27,31.570893
18.322366,22,31.592668
10.319229,16,31.608137
11.232368,17,31.625049
13.383713,14,31.6391
138.861042,77,31.711576
14.973641,19,31.729582
16.9182,17,31.746815
15.951667,17,31.763983
18.730156,19,31.78246
8.301821,19,31.801266
80.914657,47,31.846033
64.357179,39,31.883776
10.146952,15,31.898316
166.233627,98,31.993535
64.558867,42,32.035643
79.631504,52,32.085818
8.493188,10,32.096685
184.397009,107,32.197635
7.241411,10,32.207834
62.287267,46,32.251671
13.533711,19,32.269661
8.4157,10,32.279546
7.798596,10,32.28965
49.132468,30,32.318398
186.526078,137,32.445797
68.952719,51,32.496881
48.79184,29,32.524457
9.804894,12,32.536935
63.56726,46,32.5799
37.788032,38,32.617348
4.813928,13,32.63006
72.590369,44,32.671261
103.572061,69,32.7359
30.626489,25,32.760959
71.568764,43,32.802117
17.169599,17,32.819863
13.627327,17,32.836832
35.13605,38,32.873833
10.962466,15,32.889493
23.880241,28,32.919772
41.005684,41,33.895022
71.571648,45,33.941021
199.990869,106,34.043492
16.6596,16,34.060276
150.75747,90,34.145755
150.613253,111,34.248856
130.230276,70,34.314755
33.50136,28,34.342294
172.238442,84,34.421937
141.25436,71,34.494618
212.951759,107,34.609808
118.581883,62,34.725007
77.149681,55,34.804042
98.732035,60,34.876381
138.886412,73,34.950558
82.628912,46,34.996408
16.489415,18,35.015029
9.722127,14,35.029449
126.001423,110,35.135014
125.078769,69,35.203253
88.348445,52,35.266889
141.35753,77,35.364879
72.141313,44,35.422357
57.40158,47,35.481475
12.278824,14,35.499229
10.791676,13,35.515809
166.778227,94,35.635059
157.102607,88,35.742906
32.838837,27,35.775878
114.053928,66,35.859238
211.903023,97,35.996459
44.819188,34,36.041339
29.448732,24,36.07265
18.690819,18,36.094184
136.30312,78,36.18393
161.970576,80,37.168842
124.409755,64,37.227255
110.173339,62,37.284493
62.384048,37,37.319453
119.756148,70,37.383257
177.133651,96,37.470015
41.868143,25,37.493454
209.853462,104,37.590658
205.230539,122,37.702366
138.691449,70,37.766861
83.729485,51,37.814727
67.700754,43,37.853849
287.033546,163,38.076383
163.866235,83,38.156109
183.964049,139,38.335417
163.695635,84,38.417633
92.305593,52,38.46676
163.713664,84,38.592868
136.438448,75,38.721189
66.676897,40,38.760963
47.625975,29,38.789553
71.543116,44,38.832418
223.620224,106,38.936906
40.336823,30,38.973809
157.594848,80,39.07065
199.770064,89,39.19272
109.480059,76,39.276235
33.644838,25,39.302622
75.6598,45,40.366294
121.735994,73,40.454095
155.793209,88,40.55423
181.79363,85,40.653321
112.813297,60,40.715795
182.161658,85,40.841581
183.042834,94,40.975444
186.389535,85,41.09076
90.038389,54,41.168096
80.145815,47,41.227293
158.617591,79,41.326389
212.877359,98,41.454883
198.53668,95,41.58591
17.73045,26,41.621752
221.585828,98,41.7209
120.368695,69,41.788014
134.260206,68,41.886009
74.859928,47,41.964174
16.133104,22,41.992258
157.699742,88,42.117858
80.65554,46,42.184604
80.189679,49,42.249802
189.771895,100,42.383662
175.254075,80,42.504274
213.752888,111,42.728897
227.54018,108,42.847885
237.374129,113,42.969007
227.827319,102,44.567275
101.708405,56,44.62064
60.709683,37,44.656586
198.079138,89,44.750905
165.627455,77,44.820859
221.682547,107,44.923672
77.34177,46,44.971668
209.875074,101,45.064877
70.30223,41,45.10287
202.932016,92,45.188178
59.896321,36,45.224127
178.021834,84,45.309153
225.307711,120,45.4805
208.314575,105,45.577079
224.561995,103,45.67089
198.856882,90,45.754138
200.707441,92,45.846207
238.035164,129,45.974135
215.707535,101,46.086833
194.373563,85,46.1667
197.240703,87,46.249169
135.852324,70,46.31816
131.493567,67,46.381007
121.033006,64,46.439195
143.888791,76,46.508854
207.8061,97,47.630188
224.186866,108,47.753884
215.279663,100,47.864636
201.067099,93,47.958018
91.640832,53,48.019958
218.659718,111,48.127456
225.283575,107,48.224758
209.792119,96,48.314705
166.878794,80,48.39922
224.047604,108,48.521538
87.41497,50,48.571771
205.394511,97,48.67101
226.816773,105,48.778968
199.855192,102,48.873686
229.421938,101,48.973165
200.508887,102,49.073443
204.916833,92,49.166812
208.777364,92,49.288821
148.6103,73,49.359171
137.168391,71,49.42835
197.547753,106,49.533189
154.906872,75,49.604942
210.065327,94,50.985368
197.756386,87,51.180049
184.354629,85,51.268625
230.006692,101,51.374749
223.054901,105,51.481928
217.784018,111,51.615127
235.746907,112,51.74419
224.821498,98,51.859865
55.81255,34,51.907824
210.96019,100,52.028334
97.467954,55,52.085
218.737201,101,52.181449
201.983624,94,52.269182
73.964013,42,52.309089
214.359145,95,52.408176
197.231329,95,52.509126
223.75581,104,52.621665
190.248499,87,52.706993
207.392463,94,52.822354
195.324999,90,52.933723
228.785998,108,53.061878
197.814668,89,53.164458
224.159626,99,53.278176
197.313338,97,54.62903
223.515004,100,54.747442
209.177114,101,54.865539
211.466125,98,54.978642
209.754448,99,55.09244
204.172189,96,55.198633
210.545707,100,55.296029
234.956221,110,55.416253
222.427828,103,55.531997
231.45388,111,55.698622
214.170309,95,55.861535
230.455127,101,56.025141
220.53104,107,56.179127
198.218815,98,56.312137
207.892366,100,56.411199
217.916259,100,56.52432
210.82215,99,56.633765
202.175424,94,56.735975
210.731144,94,56.843409
230.334428,104,56.965531
203.008839,100,57.082204
235.930999,109,58.086307
89.941541,50,58.132149
213.087215,93,58.217224
197.163558,90,58.300047
209.518113,95,58.386287
202.49111,90,58.468235
204.254146,104,58.562511
205.067039,101,58.653835
202.16067,94,58.738079
211.241881,106,58.833383
208.007689,92,58.918285
192.641943,96,59.005109
200.323206,90,59.087047
202.03224,98,59.176259
184.15339,83,59.251186
218.495799,98,59.340784
224.159923,102,59.433004
190.441146,96,59.518894
219.918407,97,59.607031
207.858313,102,59.698991
197.277848,92,59.782044
208.258613,97,60.832056
183.366845,85,60.917475
231.496006,105,61.037121
201.186319,91,61.141738
209.647615,96,61.244917
186.36258,84,61.322058
213.020631,104,61.425944
219.581569,96,61.560338
206.873509,93,61.648203
214.480319,93,61.732915
227.576095,109,61.831758
229.801729,102,61.925551
215.535973,100,62.020335
202.296018,91,62.106489
222.420131,103,62.199889
213.917764,95,62.287564
205.937378,92,62.371505
231.489908,110,62.470783
218.238511,99,62.560407
202.094192,96,62.654468
210.198263,99,62.744337
86.162385,49,62.788397
232.185853,100,63.775935
213.506399,96,63.864927
148.732323,78,63.938204
210.172622,94,64.024375
197.589956,88,64.105445
302.815826,122,64.215877
141.049232,69,64.279597
232.085915,108,64.377314
240.49801,118,64.484346
212.337209,96,64.571825
203.762116,96,64.658574
215.764839,98,64.747313
200.613351,90,64.828332
200.443339,90,64.916081
217.46761,98,65.005556
211.834678,95,65.091577
204.788075,90,65.173202
236.337748,107,65.270125
192.515552,86,65.348857
179.558854,82,65.427528
199.453947,90,65.511959
212.658357,98,66.497568
226.719686,100,66.595725
208.421743,93,66.684028
205.112424,99,66.779116
191.635627,85,66.856477
220.266004,101,66.948589
191.244802,89,67.029022
224.941958,101,67.126645
210.629027,92,67.209887
210.431016,95,67.295698
361.631238,140,67.42494
245.502773,105,67.52261
198.397177,91,67.608679
218.786978,95,67.715243
217.805256,101,67.830169
232.889275,97,67.94065
244.7227,115,68.071749
219.709013,95,68.225913
199.273225,88,68.36355
216.129617,96,68.517962
193.961974,87,68.712977
231.735162,100,69.736175
281.522181,124,69.848146
197.189228,89,69.929555
285.567551,124,70.040526
281.434547,129,70.158676
202.229317,91,70.241089
214.403644,97,70.328105
226.872713,101,70.419133
200.693056,87,70.497552
208.004016,93,70.58113
209.417894,92,70.664864
202.050271,90,70.748542
213.470929,97,70.838684
204.141078,92,70.948865
270.308025,115,71.079147
199.694996,90,71.18897
266.859032,128,71.352612
180.290034,88,71.438708
212.518676,94,71.524266
230.654288,103,71.616841
302.20752,129,72.667149
318.027877,125,72.784149
303.286347,120,72.913491
222.164496,98,73.024609
287.400384,125,73.148619
207.593368,94,73.236045
237.789077,103,73.3513
206.758264,97,73.465676
227.892973,103,73.601695
309.889027,125,73.749084
232.438483,101,73.862398
257.905278,104,73.965457
207.2657,92,74.082012
217.749506,95,74.188327
312.026072,127,74.440806
326.727538,123,74.649757
218.856427,96,74.795523
336.878803,134,74.969099
324.694089,126,75.10722
282.865962,111,76.204851
428.245735,171,76.361976
336.366502,130,76.49465
304.483355,119,76.626871
200.639854,91,76.725532
315.378531,123,76.867956
77.813699,44,76.922603
343.268682,131,77.051497
71.53933,42,77.091419
279.4281,122,77.199986
185.116092,86,77.277629
314.222038,143,77.418653
316.624991,120,77.527293
253.15115,113,77.629558
316.90022,124,77.747462
347.384063,132,77.897063
323.164877,129,78.018831
200.995158,91,78.10432
226.785848,98,79.502329
242.458574,102,79.609981
308.605199,120,79.74385
301.753898,121,79.873226
218.373315,95,79.975985
228.829777,98,80.07941
327.369123,129,80.217865
271.534561,111,80.33354
268.336449,114,80.456532
201.16843,92,80.554611
284.159945,130,80.699311
412.085434,172,80.88768
423.193516,176,81.068387
329.659761,135,81.213385
68.545207,40,81.256621
311.270304,116,81.378716
308.991535,120,81.513485
306.716911,134,82.712033
264.159951,105,82.822333
334.213604,129,82.978548
290.04693,130,83.138242
357.279892,141,83.301225
356.183043,154,83.51536
415.218644,179,83.753668
346.295821,146,83.911304
385.71859,179,84.11569
419.040193,154,84.323958
365.211811,144,84.51835
306.51053,123,84.649359
350.161787,135,84.850501
320.52206,128,85.082583
342.824002,128,85.2319
356.962237,140,86.780203
293.082086,119,86.973071
310.063979,113,87.1403
267.678102,111,87.342248
339.497142,125,87.532079
349.572437,132,87.725862
312.818584,121,87.868801
430.628058,162,88.091687
260.20517,108,88.223607
316.46166,134,88.422747
301.068469,122,88.559602
216.105034,111,88.737566
213.853907,98,88.856394
334.360463,131,88.992125
569.558426,202,89.251476
352.224839,133,89.403166
315.08024,118,90.543523
271.759197,111,90.659276
479.579804,167,90.835524
354.116081,141,90.981805
336.885204,126,91.11485
509.28312,186,91.306099
283.081094,126,91.437131
335.876627,125,91.566897
327.609536,131,91.700317
353.940747,127,91.834887
330.607481,123,91.964922
420.154395,154,92.153108
337.449025,128,92.288637
397.050168,159,92.488719
431.29509,184,93.850935
175.892277,86,93.973087
379.815246,144,94.224602
272.600211,107,94.34258
473.726538,167,94.520272
350.48372,132,94.65491
