#{"t_start": 1525900720.8760169, "env_id": "Hopper-v1"}
r,l,t
11.310426,14,1.284847
6.960602,20,1.309245
8.638701,22,1.334605
14.870522,19,1.357047
15.626449,20,1.38071
4.901498,7,1.389475
21.38556,22,1.413383
9.483638,34,1.452221
15.31767,23,1.478113
10.691824,17,1.49913
22.368751,28,1.530545
26.730158,34,1.569538
7.115994,20,1.591113
12.938603,15,1.608905
8.040278,25,1.636356
11.589843,15,1.653518
14.929909,16,1.67353
44.269548,52,1.732042
16.733798,21,1.752874
12.197863,19,1.770961
3.829034,7,1.778229
20.736676,40,1.82341
94.115224,56,1.875246
6.287462,18,1.892334
15.80429,28,1.919855
8.564321,12,1.931446
16.417441,16,1.947968
5.352911,9,1.956991
25.259453,23,1.979674
8.585433,20,1.998919
22.504899,23,2.020608
9.492871,19,2.039441
10.353447,19,2.058034
20.334781,20,2.080985
31.025853,28,2.112931
13.770109,19,2.136069
14.862181,16,2.154717
16.921394,19,2.176517
8.560195,22,2.201678
13.823498,39,2.244258
19.224415,29,2.277463
3.856627,19,2.29809
11.73332,13,2.313532
11.434098,19,2.335382
7.533591,9,2.345343
8.997344,13,2.360378
23.083647,24,2.388753
15.399951,22,2.413756
16.786457,19,2.435579
13.143055,21,2.458656
26.03724,30,2.493071
7.37719,11,2.505493
31.520953,57,2.57038
12.131531,21,2.593313
18.052846,24,2.618472
11.139657,16,2.63538
33.91086,27,2.665024
7.159658,10,2.675176
5.37804,10,2.687811
5.409813,8,2.69683
10.913161,13,2.711719
25.959623,25,2.740715
197.509594,88,2.838618
63.833352,60,2.904945
6.416652,10,2.917539
14.359615,17,2.935951
9.173807,11,2.946953
17.415549,22,2.973965
5.421484,8,2.983487
20.17553,20,3.004606
4.61938,11,3.016653
7.632829,14,3.030646
12.985185,28,3.058772
8.18415,18,3.076952
12.126265,17,3.093215
37.285645,43,3.133613
11.899511,15,3.148363
23.905158,21,3.16847
22.674745,26,3.192688
24.771052,24,3.214957
12.6316,19,3.232899
175.863539,109,3.333288
10.232509,17,3.349408
4.078108,8,3.357943
11.926329,16,3.372836
11.497735,23,3.394279
6.294198,11,3.405117
8.182595,10,3.414589
13.977606,19,3.432857
13.453773,27,3.458708
46.223009,54,4.822849
11.6507,18,4.84029
14.736057,16,4.855534
17.43761,20,4.875379
15.195104,16,4.89095
5.092629,9,4.900524
18.029135,19,4.919296
27.016145,24,4.943022
12.561685,17,4.959522
11.051817,23,4.981642
9.229901,13,4.994739
8.306547,17,5.011104
20.369915,30,5.040564
15.739218,19,5.059652
55.10362,56,5.112799
16.783717,21,5.133514
6.583284,9,5.143172
15.793056,16,5.158647
13.642077,18,5.17695
43.309498,34,5.208935
10.297413,13,5.221377
29.652405,30,5.250452
114.83238,60,5.307067
7.902697,12,5.319288
22.806941,26,5.344802
6.859956,12,5.356723
20.641671,31,5.386668
14.653339,20,5.415357
8.867876,10,5.42633
7.719352,10,5.438155
10.730574,25,5.466111
22.132642,20,5.489987
11.083163,14,5.508608
28.318507,25,5.537699
10.338988,15,5.554224
8.455776,11,5.567294
12.01191,19,5.588295
21.741364,30,5.623415
20.25564,21,5.647693
8.048882,11,5.660215
10.181694,12,5.674223
7.74197,11,5.687654
6.500324,9,5.698492
7.974653,14,5.714383
25.364438,20,5.737723
16.967493,17,5.756343
15.574661,26,5.78211
10.686857,13,5.795135
10.368588,15,5.809564
6.312761,13,5.822115
13.809623,14,5.83582
8.493531,12,5.847681
10.479359,14,5.861822
9.822339,17,5.879148
8.730507,20,5.898329
7.817993,11,5.909471
29.082994,25,5.933232
16.022548,16,5.949325
24.113136,33,6.00868
186.357296,97,6.119019
8.626549,16,6.134692
9.349061,14,6.147698
13.109965,16,6.16618
11.275742,20,6.185571
11.855941,22,6.207128
22.499899,23,6.229432
23.17387,32,6.259125
10.869271,12,6.270378
11.875256,19,6.289467
9.37859,11,6.300009
11.70746,28,6.326273
82.334233,50,6.372451
32.58413,27,6.398139
12.52813,27,6.423448
25.324544,27,6.44925
27.060775,24,6.471715
9.827338,11,6.482259
18.18207,17,6.498908
24.341728,23,6.520449
133.002284,79,6.593448
35.999099,28,6.619925
7.099782,12,6.631586
4.507636,10,6.64145
69.6069,43,6.682049
5.470598,12,6.693379
6.527458,10,6.70368
8.11492,15,6.718323
27.893634,32,6.749304
9.525751,12,6.760437
43.763088,42,6.800591
18.031695,20,6.819864
